orderID,rank,candidate_address,subject_address,score,is_comp,user_feedback
4755196,2.0,415 Hepatica Way,531 Des Genévriers Rue Orléans ON K4A0Z2,1.8487361669540403,1.0,1
4723364,1.0,2738 Isle of Man Rd,1050 John F. Scott Rd Kingston ON K7L4V3,1.4640510082244873,1.0,0
4723364,3.0,1996 McFarlane Rd,1050 John F. Scott Rd Kingston ON K7L4V3,0.9523958563804626,1.0,0
4723364,1.0,2480 Hitchcock Rd,1050 John F. Scott Rd Kingston ON K7L4V3,1.5219861268997192,1.0,1
4752865,1.0,716 40 St SW,8915 20 Ave SW Edmonton AB T6X2C5,3.06426739692688,1.0,0
4752865,2.0,3116 Winspear Cres SW,8915 20 Ave SW Edmonton AB T6X2C5,3.0432634353637695,1.0,1
4752865,3.0,1253 Adamson Dr SW,8915 20 Ave SW Edmonton AB T6X2C5,2.919597625732422,1.0,1
4742669,1.0,523 35A St NW,"504 37 St NW, Calgary, AB T2N 3B8, Canada",3.868360757827759,1.0,1
4742669,2.0,2536 4 Ave NW,"504 37 St NW, Calgary, AB T2N 3B8, Canada",3.1338560581207275,1.0,1
4742669,3.0,2425 3 Ave NW,"504 37 St NW, Calgary, AB T2N 3B8, Canada",2.9668803215026855,1.0,1
4755196,1.0,156 Aquarium Ave,531 Des Genévriers Rue Orléans ON K4A0Z2,2.437195301055908,1.0,1
4755196,2.0,666 Decoeur Drive ,531 Des Genévriers Rue Orléans ON K4A0Z2,1.3048744201660156,0.0,1
4755196,3.0,375 Hepatica Way ,531 Des Genévriers Rue Orléans ON K4A0Z2,1.3048744201660156,0.0,1
